Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
Virtus.pro,NiP,overpass,NiP,1.03,1.09,1.06,1.16,50.98,52.36,44.16,45,72.8,73.8,28.1,28.8
Virtus.pro,dignitas,cobblestone,dignitas,1.03,1.02,1.06,1.05,51.82,52.12,50.81,57.35,73.8,76.4,29.8,27.2
Virtus.pro,mousesports,dust2,Virtus.pro,1.03,1.01,1.06,1.04,49.14,51.93,56.52,53.44,72.5,75.0,26.2,28.2
HellRaisers,Virtus.pro,cache,Virtus.pro,1.01,1.03,1.03,1.06,53.35,52.94,54.76,52.05,75.0,76.4,30.1,27.7
Virtus.pro,HellRaisers,overpass,Virtus.pro,1.03,1.01,1.06,1.03,50.98,50.73,44.16,44.15,72.8,73.4,28.1,27.0
Virtus.pro,NiP,cobblestone,Virtus.pro,1.03,1.09,1.06,1.16,51.82,51.71,50.81,50,73.8,72.1,29.8,28.6
Liquid,Cloud9,cache,Liquid,1.04,1.02,1.08,1.06,55.59,53.48,52.03,58.78,74.8,76.4,34.0,28.8
Virtus.pro,G2,cache,G2,1.03,0,1.06,1.01,52.94,51.22,52.05,50.74,76.4,74.7,27.7,27.1
Virtus.pro,EnVyUs,cache,Virtus.pro,1.03,1.04,1.06,1.07,52.94,55.14,52.05,52.98,76.4,77.3,27.7,31.0
NiP,Virtus.pro,mirage,NiP,1.09,1.03,1.16,1.06,51.24,56.25,52.05,55.33,74.8,78.0,27.8,31.5
G2,Virtus.pro,train,G2,0,1.03,1.01,1.06,48.8,54.51,47.14,51.28,70.7,77.4,28.2,30.5
Liquid,Luminosity,dust2,Luminosity,1.04,0,1.08,1.14,53.59,54.33,59.09,43.48,74.6,78.0,30.7,28.1
Luminosity,Cloud9,overpass,Luminosity,0,1.02,1.14,1.06,54.77,54.03,55.71,53.03,76.6,75.8,30.7,29.2
Luminosity,Liquid,cobblestone,Luminosity,0,1.04,1.14,1.08,56.27,53.23,48.72,50,79.9,73.4,29.4,29.6
Virtus.pro,dignitas,cache,dignitas,1.03,1.02,1.06,1.05,52.94,51.18,52.05,49.3,76.4,76.1,27.7,25.8
Liquid,Cloud9,cache,Liquid,1.04,1.02,1.08,1.06,55.59,53.48,52.03,58.78,74.8,76.4,34.0,28.8
Virtus.pro,mousesports,inferno,mousesports,1.03,1.01,1.06,1.04,52.3,48.86,52.65,58.87,76.2,70.2,27.5,25.4
mousesports,NiP,mirage,mousesports,1.01,1.09,1.04,1.16,52.81,51.24,54.17,52.05,76.2,74.8,29.5,27.8
Luminosity,CLG,cobblestone,Luminosity,0,1.02,1.14,1.05,56.27,52.59,48.72,53.7,79.9,73.3,29.4,28.0
EnVyUs,HellRaisers,cobblestone,EnVyUs,1.04,1.01,1.07,1.03,55.41,51.84,61.61,52.59,76.1,71.4,33.3,32.0
CLG,Cloud9,cache,CLG,1.02,1.02,1.05,1.06,49.28,53.48,56.48,58.78,72.2,76.4,26.5,28.8
